campaign_id,audience,impressions
dce13dc8-3da2-4c6f-9e6b-1a2d07ee7f7f,MT_green_33-38,2652
a1ae1c39-6491-4974-8bab-b402e581cd9c,SD_blue_27-32,5875
1dd74e30-e65f-4e0b-a5aa-c25da025ec03,MD_pink_48-53,2017
ac4987db-f26e-44f7-873b-947e457958cf,WY_green_45-50,5895
4a06fb93-277a-45b1-8ceb-f46f82efe499,IA_white_24-29,3399
b408e9d0-c45f-404b-a632-f498ecfefbb0,TX_white_54-59,7342
028bd284-c58b-475c-ac4e-d2688ae075e8,OK_black_51-56,4636
97bcfa4f-01c2-40f0-a3a3-2e1d005cd217,NY_red_18-23,7802
8da3380d-3d4c-4014-a2ef-1f6288965902,DC_orange_21-26,2984
9b707645-7ee4-449f-b06a-2a31c8506e07,AZ_green_57-62,4459
73d7e2b5-7d33-4082-931f-f5640ba8844c,UT_white_24-29,3023
30edd83a-6587-4a76-a837-43a56af49b07,TN_brown_24-29,4556
01555620-5ec3-430b-9a47-2275bbbb3fe3,MO_purple_57-62,1650
7ea31e3c-baaf-4a4c-a15a-181ae247604e,VA_brown_36-41,2413
7b0a879b-5ded-4fba-bc88-5b531c189621,SC_pink_63-68,5384
59e4ed69-24c9-4d4e-b135-83549d269e47,IA_blue_21-26,3976
aadcf23d-5d6f-4b97-91c4-b0d6133a3b05,TN_red_27-32,6632
0a6b383c-02c1-4ed0-9446-5fe9f6d87d83,NV_purple_45-50,6986
26b1971d-3710-4107-b03c-2fa2ba6afcc0,SC_black_45-50,5019
3d511ed8-bf97-483f-819b-67c770cfc435,NY_pink_57-62,2371
9b66b4a3-e20a-4a48-949c-93252a42b88d,WY_purple_60-65,722
f27a6170-cdd9-4ed4-b0e1-7500f9336f6b,AK_green_45-50,9753
1aabd8c0-7495-4f7f-9776-a584acbb0b57,AL_blue_42-47,1352
67ec5ec2-e5fe-444d-aa04-d9d2c4f4804f,KY_blue_63-68,9748
e5e79384-6007-4bb2-bb4b-386b3bb29aa9,MO_blue_27-32,9424
6785d5a9-fd4e-4109-bf99-521a4856140a,AR_red_51-56,4974
c1a8def7-c991-444d-a95d-4e2fadb1e04b,AR_orange_27-32,8231
7c64b204-2b1e-48e6-b961-e126983c828b,IL_white_48-53,6750
25e33974-3b2b-437f-9cb4-67fdddbb4f18,VA_blue_30-35,6043
41cd4419-8f5f-43ef-a995-7539222b96a7,LA_pink_33-38,7675
a65fae8e-41c8-41ab-8390-614e4df251fe,CT_orange_30-35,776
93ab5179-c06d-4bd7-bfb9-ad0671741261,ID_green_24-29,5497
fc433b37-d306-4237-9c25-d01c5d9ba3b8,NE_red_18-23,2986
95d32cc9-c07c-4385-9eec-4624214f9765,FL_brown_57-62,3556
15289dc5-808c-447f-9797-65807f4ed8a9,NC_white_18-23,3002
8edb4a67-44c0-4b06-9f4e-08fad8b07c38,CT_orange_39-44,4563
7d7178fe-569c-411a-b77d-072a971018e5,MA_pink_24-29,5932
5f486caf-4f79-435a-b8c0-15318e29602e,LA_red_63-68,3112
804e03aa-8faa-408c-b208-623217a32c85,DC_green_48-53,4862
b2139419-b5fc-4e68-977f-65a4c51747ec,RI_green_18-23,3952
1fdbd4a2-d3b8-4f4d-8a3a-940279817ccf,VA_orange_45-50,8526
28edbc63-a3e8-46a4-b0fb-f3e873aa22fe,WV_black_27-32,2327
b58619b4-abe2-4322-b578-f04fc1f26487,UT_blue_36-41,2227
f23bb4ae-236c-469d-875f-0369c1ffa8f2,OK_purple_45-50,7623
bcd42c05-8b07-4053-a9ab-fd94a23dee85,VA_orange_54-59,1775
91d1d395-66a5-4aca-a3c8-7bde2fab7d51,IN_orange_57-62,7637
1658d88c-5c33-4d29-a172-945592571e74,DE_black_48-53,2597
c79abb7a-e613-49f1-a767-ee827297c2d8,WV_black_33-38,8106
295382ef-e23a-463e-a341-fd45c8f2ed2e,ME_pink_63-68,7531
bad12c72-cd2f-462a-88d5-e5e264cda8d3,MT_black_57-62,7532
db44a9d4-e175-4700-97e0-4d6399de61ac,MA_blue_60-65,3552
ed93d7f0-c5d4-48bd-ab18-fbefefa28f19,CO_white_51-56,7333
398c21de-7913-4a5a-a417-2df73c95cfb1,FL_red_54-59,2201
06ce9969-d9ae-4ad4-b4ce-9f5cb1f5e988,AL_black_42-47,6885
9a056910-5c02-4881-b3f3-6103768f974a,VA_green_63-68,382
290766ee-3b36-48ff-a5b4-60f577e47415,VA_green_21-26,1286
0a339cd8-dcfd-4209-a5c1-f05b604aea5d,UT_blue_54-59,2551
f61aac31-00da-4aef-9354-4027099df6f1,KY_green_36-41,6089
97134f31-1f84-46c1-a4d6-00cc84b488b5,OK_green_36-41,2627
14de1e7c-7077-4887-8ffe-c1f0e7a40b14,TN_black_33-38,8834
5da92a34-a420-44d7-a2c5-0943ac902d85,WY_brown_60-65,6748
552cd05e-8c49-48f8-ac8f-f6976c1a6cdd,OH_black_33-38,7735
d7aa5b3f-492f-4352-a309-57330e3eb42a,NJ_white_24-29,3405
25ba2cf4-482c-4eab-99ef-f165a6904174,NJ_brown_33-38,8923
a79113ce-2089-4cf6-b870-f4a5d67708cc,CA_red_42-47,3479
fa420483-5036-4bc8-b9ee-f6fec746774e,VT_black_51-56,8948
3b4a4f8c-661e-436f-aac9-e0ede77982f0,CA_red_54-59,4747
bf3a74ca-31a4-4e65-aa6b-4e812e3fdb32,WI_blue_48-53,9532
2c6d3b46-81db-4f19-96eb-6c37768287e9,OH_white_42-47,3474
9106af0b-fd08-4998-8781-6b21b40261c2,MS_purple_18-23,417
de9d1672-898a-4dc2-9266-30913cc202b5,IN_black_36-41,4038
906ad1e1-0cc2-4639-b3c1-4fc1ef0bf101,CA_blue_54-59,6791
5b81801c-99f0-4a3e-a6fe-1dd244adec2a,FL_brown_39-44,7371
d89be537-ece4-44e2-b3f7-6314edd3b639,SD_black_48-53,5632
e2092697-5bf5-4f7e-9247-cd6d09d6dd45,CT_white_36-41,7046
23264215-8155-4175-823d-99405903a1fa,HI_purple_24-29,4606
487c08a0-f847-4cb2-8a67-895aa14884a3,WV_orange_18-23,3004
ca2f59eb-8667-402b-8d7f-92c48502132f,TN_red_36-41,5724
fb4f11f4-4a9e-4752-b708-3ef41b1582fd,NY_pink_63-68,6746
3d24b6b9-21d4-4186-827e-515f315effac,KS_pink_18-23,2286
8381642e-7411-495d-91e6-7e812535783b,NE_orange_27-32,6560
6548725c-032f-4d5f-99af-0e8152b85f19,MA_purple_60-65,4391
b42d8bc7-035f-440a-b28d-030f2bf84537,VA_blue_18-23,849
04ad0d28-4154-49f7-b1e1-891ff31fb754,LA_purple_42-47,9795
e8326608-978b-4961-944a-e0d2d7c80d6b,ND_purple_63-68,5921
6c64db4f-236a-4a9f-af7c-126849cdcfc3,GA_red_33-38,238
9f63fefd-b0f3-4b0e-8f00-c165efdb6a9a,IL_orange_36-41,1457
f7a17248-d176-433d-90d2-3c963fa79720,KS_red_45-50,105
f8a9578a-b92e-48c8-b0cb-651c2bf1a33f,LA_green_30-35,5387
a3c769ac-6d15-4e81-9b43-ef0bec3f2eb6,HI_brown_45-50,8501
83a4de2c-2c71-46bd-a253-be7fb16ffbad,UT_pink_33-38,4295
1437c8c1-73fc-4382-8d6f-32dac8186cea,WY_blue_48-53,7302
39872797-7e65-47d9-914e-52082a5ba205,SC_green_51-56,1268
ada1ad99-8e9b-49e8-af5e-98986b97f0df,AR_black_63-68,3140
77c4c354-6a8d-4edf-8478-5c421fc356b6,MD_pink_21-26,7264
57768383-97c9-4cc7-a206-81215ae4d183,WY_red_48-53,5316
05682dc7-eaa8-450a-8d7c-de1369a4e76f,MI_pink_57-62,9300
c46b7203-5c4b-4a5b-a982-db3cc7a58a22,DE_orange_60-65,5353
a56aac85-8533-46d4-a197-576ae2a9a945,NJ_white_18-23,906
f4b9a7c4-a521-462e-9a33-a18f51ea20db,MD_orange_63-68,3330
f1044904-b788-4218-b092-256834f44b09,PA_blue_42-47,6583
c185e63f-3a4f-414b-bdc0-e71902196c40,RI_red_45-50,4803
298c0116-28eb-4572-8e5d-41eaa375f01b,NH_purple_54-59,5317
1159e2a5-2339-4e35-a571-349d8bd9dcec,MT_blue_24-29,836
acca4432-04eb-4ed4-82c9-01ad962306d8,UT_purple_60-65,9796
f91b786e-1d88-47fd-93af-d985942b5152,HI_green_33-38,2692
47c9fe2b-5017-4dcf-8089-7ac02ef2fc35,WA_blue_30-35,998
479218d0-6c32-4adb-bbff-1eceb1c95fa7,OH_blue_57-62,7576
6ad3ec36-91f4-423d-a953-23f232c51cbe,WI_black_54-59,9499
450e3b9e-97a4-4418-a7ac-7f6df9e2ab59,ME_white_33-38,4762
9c5ecb75-e6dd-442c-a849-bdfac93c07c5,ME_red_33-38,9261
c95e7ff6-16ac-45fe-8580-b2e2d79769dc,WV_blue_39-44,6802
0acfa72f-5317-4f98-8ac4-d1651d4bd85e,WA_black_27-32,7592
6caa2c3b-24da-45c9-9b97-23610ac0706a,CA_pink_60-65,8087
b0d297e1-2ff7-42a8-9e10-ec798b62a3c0,TX_red_39-44,4961
7ff468a2-d6ef-44a6-ad2f-a357958eabc7,UT_red_60-65,5699
c5a16f6f-24f1-477b-aa74-0b533a4941d8,CO_brown_39-44,2320
0b7b164b-affe-479f-96d2-373e00cc45d6,CT_red_48-53,1675
23af0255-d378-4026-b89c-24495ee782ae,MA_white_21-26,3373
06728535-2d6c-4898-b7fd-bd9238f65948,TX_green_63-68,6227
b778bcbf-918f-460d-885d-43bbf4f1838f,MI_black_18-23,2769
204a0814-34a4-4186-b796-ef1fac2ed565,MD_purple_39-44,2663
715cc968-027e-47f7-be1b-08dcc87a8fdc,VA_pink_21-26,4802
7513fad9-cc23-42a0-8fb2-be02042c3b88,CT_white_54-59,3111
900b76d4-cedd-4495-b300-317397c6d169,ME_brown_33-38,3473
082e1191-5fa7-4149-9321-5ab94fc71082,IA_black_36-41,7457
53dcc150-c0bb-484b-b15c-0f35fb63c22e,CT_green_33-38,7376
ea4fef20-fd4b-4940-9a91-400ed94a3206,KS_pink_30-35,2693
0408b92d-d15d-4076-86d1-cd599de35c0e,MO_orange_39-44,3519
5e1d1b8f-6a2b-4219-9b06-c9573a6f4e43,RI_pink_51-56,9280
b8427cb6-5baa-4b77-b5aa-ca2819f100af,RI_green_33-38,468
654d37a1-ebc6-4571-9bd7-52749506a78d,NV_blue_30-35,3187
b6d6ee2c-3575-4995-b9c3-93154b7ccafe,OK_black_24-29,7405
31d90a24-83f7-4595-b0a8-0e1c16d88d92,WV_brown_36-41,3011
fbdc40cb-8868-4d06-a434-e9837289c86e,MD_red_27-32,4074
fa9ce7d1-135c-4c59-a3b8-50e8f71cb499,ME_red_18-23,7948
5002a0eb-69ef-4c6f-b037-b699ca7a14c7,NH_orange_54-59,3049
6f3d444f-6ce5-44e0-ab6b-26bd17ca77b3,IN_blue_57-62,8576
b21554d0-8963-47bc-9972-e1e001357005,NY_pink_54-59,5805
1ea1e9bd-a9fe-4e08-8ac2-fe9ff3da946f,NC_black_36-41,534
d7d01bfa-fa99-40f4-bf15-f0c5be8a9fe8,AL_red_18-23,4357
abbefc0d-96de-46f9-ad22-e306fa951126,RI_black_57-62,1290
c433b3ca-7793-471a-a626-4626e97af3ab,NE_black_48-53,2961
17fa28e3-7ee9-4881-9342-d52bcfb59155,OH_orange_57-62,3385
b666af27-01ec-4f31-84dc-b92b03683cac,MS_purple_33-38,801
d3889696-6c16-46d5-bab6-61c558764d26,DE_purple_27-32,3272
34d8365e-b039-478f-a35d-63af6ff1b025,IL_blue_51-56,4666
9b99c67e-8b38-4999-92df-112059dce1d0,RI_brown_48-53,7131
3da6acc6-6d39-41bd-8970-3da2525d0f45,MT_blue_27-32,7692
d47da656-4136-4d50-9ab4-3486f38139f5,DE_black_24-29,8857
8e53d374-7932-4d11-bd5e-0576083a562b,ID_black_57-62,5866
ae501f2e-cb56-4cc9-b92c-05578f46f444,NC_black_18-23,774
da3205f5-4fb5-4d85-9f98-c965059fb11f,AL_red_63-68,2488
e325f542-a04e-4355-bf53-cd0d56359912,DC_blue_27-32,1794
d80d2dfa-276c-41a2-9b40-63388152d549,NM_brown_57-62,4242
15e73e31-1b68-4642-a21f-9277249f4acc,GA_red_24-29,6907
b8d47aa3-b2f7-4423-9d36-da7f350644ea,AR_white_24-29,5543
e22aac0b-b249-48ea-a19f-1a357d5d810d,IA_green_48-53,1111
1f294ab4-df48-4444-81a2-5c37f8838c32,WI_orange_30-35,3961
6c4323ad-faf1-4383-9d78-50b77ff9deef,DC_brown_39-44,4902
dc91bd4d-0745-4bbf-8d44-673085afb871,PA_red_57-62,4782
90d03d4c-0597-4bce-b85a-658dd38fb15b,MN_blue_48-53,1057
579b0a40-5e15-4cc8-a427-67868e51e411,MI_black_48-53,5007
7b2abc92-6dd5-4ec0-b10b-8362a5f264cf,NH_black_42-47,2055
e0b57d0c-e9a4-44b6-95ce-97086b57e76e,IL_brown_60-65,622
9c7a9d3b-5583-4ef8-b7f7-70663df340e7,CO_black_18-23,6679
213da574-e3f7-4b15-8e67-c301a55181b9,IA_brown_54-59,5928
202c00a6-3537-450e-9f38-5a94ec8366d2,OH_red_42-47,1063
0fce9d91-2203-4264-ac24-59dccbbe6a09,UT_black_63-68,4211
487a5a5b-9a0c-4a88-aedd-c6f94b1b3312,GA_purple_57-62,7731
e5e61241-7a93-4d36-9427-eb25d6b23534,WI_green_54-59,6935
b17af270-cbc0-4eae-934d-7639dfc54fb2,AR_brown_27-32,3589
e0ff649c-3fc0-451a-b983-46310192cba9,CA_orange_39-44,7043
c2fb19e9-51b5-41df-a2dc-c3e88f4798bf,NC_blue_48-53,8822
0573e9df-e3af-4abe-a95e-96bd0eb04dd2,CT_blue_51-56,588
fb4f35b5-7a88-4ddf-8594-fee4e839a7d6,WY_purple_57-62,154
c903942d-1cf9-4e44-9edc-962fb7766145,UT_brown_45-50,2552
8854dca1-601c-490c-8f9e-29271f43c641,TX_white_18-23,7803
e8a7c196-2f94-4c90-93df-2f5b04a0259a,AZ_orange_60-65,8717
772120f5-1598-4077-a0a9-49d44cea7359,PA_white_48-53,7585
f1990104-282c-48f1-ab1c-af7d1637c87b,IA_pink_30-35,4314
50fdc6d5-5c68-42a6-a320-78e0a27ad205,NH_green_36-41,9569
b5599e7f-1cd7-41fb-b1f2-9b5be633996c,MT_red_27-32,8938
