campaign_id,ad_type,date,spend,actions
856c435c-2dd1-42dd-ad40-b4d3c24d99d9,photo,2017-06-21,943,"[{""A"": 47, ""action"": ""views""}]"
b9c9bcb5-505e-4a39-8c17-51a7941b3fea,photo,2017-06-19,403,"[{""K"": 70, ""action"": ""conversions""}, {""J"": 83, ""action"": ""views""}]"
4af70e3b-134b-48f0-90c3-42ca295970cb,photo,2017-06-15,655,"[{""F"": 6, ""action"": ""junk""}, {""K"": 81, ""action"": ""noise""}, {""G"": 89, ""action"": ""clicks""}]"
99c721cb-1c68-4c8a-8b67-8a8bec687824,video,2017-06-20,440,"[{""D"": 9, ""action"": ""conversions""}]"
ce45f68e-91ca-4e7d-b2ff-cda5c1f76bd0,video,2017-06-23,253,"[{""J"": 25, ""action"": ""noise""}]"
c57b6746-3da4-4409-9353-36e5b3715773,photo,2017-06-14,202,"[{""H"": 60, ""action"": ""views""}, {""H"": 40, ""action"": ""noise""}, {""A"": 98, ""action"": ""clicks""}, {""J"": 14, ""action"": ""views""}]"
6ae40227-9652-44bf-8d2e-5e0fb89dc736,video,2017-06-17,620,"[{""E"": 29, ""action"": ""conversions""}]"
4ec704be-361a-47ec-8c94-055e63636297,photo,2017-06-22,563,"[{""F"": 19, ""action"": ""junk""}]"
f5728600-b2be-4be5-b1cd-c843cb7c939b,video,2017-06-18,231,"[{""C"": 43, ""action"": ""noise""}, {""J"": 26, ""action"": ""noise""}]"
a10d585f-8b70-4139-82d8-4f044314274e,video,2017-06-15,584,"[{""J"": 19, ""action"": ""noise""}]"
eb4e005e-d3ef-4763-a4bf-9370aa0d82f1,photo,2017-06-20,47,"[{""D"": 4, ""action"": ""views""}]"
c5da84c9-ee2f-4a2f-b8e2-90d232c894d5,photo,2017-06-18,416,"[{""H"": 31, ""action"": ""clicks""}, {""H"": 57, ""action"": ""conversions""}, {""F"": 83, ""action"": ""junk""}, {""K"": 38, ""action"": ""views""}]"
6aa17719-dba3-4fa3-bbe5-f5bf0ef43717,video,2017-06-18,82,"[{""A"": 6, ""action"": ""noise""}]"
b0f6e1de-facc-4dd7-8ced-6c999eb3baba,video,2017-06-17,117,"[{""D"": 89, ""action"": ""junk""}, {""K"": 9, ""action"": ""conversions""}, {""H"": 40, ""action"": ""clicks""}, {""C"": 4, ""action"": ""views""}, {""C"": 1, ""action"": ""junk""}]"
2083aa8a-c2cf-42d3-8afc-d12a852ab017,video,2017-06-19,787,"[{""J"": 86, ""action"": ""junk""}, {""J"": 40, ""action"": ""noise""}, {""C"": 10, ""action"": ""views""}, {""J"": 88, ""action"": ""views""}]"
4af70e3b-134b-48f0-90c3-42ca295970cb,photo,2017-06-16,330,"[{""J"": 33, ""action"": ""noise""}, {""H"": 32, ""action"": ""junk""}]"
0d962975-8fa6-49ab-a84c-9c43f3404b33,video,2017-06-17,855,"[{""H"": 15, ""action"": ""views""}, {""A"": 6, ""action"": ""views""}]"
b648cd2d-fde1-4945-b54e-95e0837145dc,video,2017-06-19,422,"[{""D"": 46, ""action"": ""conversions""}, {""E"": 31, ""action"": ""conversions""}, {""G"": 28, ""action"": ""clicks""}, {""C"": 12, ""action"": ""views""}, {""F"": 58, ""action"": ""noise""}]"
3067e042-0183-4bc3-8625-cb3fb22df58e,photo,2017-06-14,982,"[{""J"": 49, ""action"": ""conversions""}, {""E"": 46, ""action"": ""conversions""}, {""D"": 29, ""action"": ""junk""}]"
35ac3bd9-9e93-4d9b-885b-a331abd27f7e,video,2017-06-21,181,"[{""H"": 25, ""action"": ""junk""}, {""B"": 71, ""action"": ""conversions""}, {""A"": 27, ""action"": ""clicks""}, {""J"": 25, ""action"": ""junk""}]"
ee1e84b0-f56d-4a5f-8bd9-218ba5516578,video,2017-06-23,534,"[{""C"": 70, ""action"": ""conversions""}, {""B"": 71, ""action"": ""conversions""}, {""G"": 98, ""action"": ""junk""}, {""K"": 2, ""action"": ""views""}]"
d8e21797-723d-4b9e-8ba8-6ebebd24c9d7,photo,2017-06-14,686,"[{""J"": 31, ""action"": ""clicks""}, {""G"": 57, ""action"": ""junk""}]"
a537ca1f-b0af-4ec6-9b05-add7fb7a7ab3,video,2017-06-19,309,"[{""H"": 33, ""action"": ""noise""}, {""D"": 59, ""action"": ""conversions""}]"
5779d00f-c58f-43b9-80f8-6bb37a877068,photo,2017-06-16,697,"[{""J"": 26, ""action"": ""views""}, {""B"": 64, ""action"": ""noise""}, {""J"": 94, ""action"": ""clicks""}]"
b8450ae7-bf64-482f-bfc5-8b2219c4cdec,video,2017-06-22,435,"[{""C"": 13, ""action"": ""junk""}]"
3dbaa28c-d2c5-4393-bfd9-303e675ecf02,video,2017-06-23,491,"[{""K"": 26, ""action"": ""conversions""}]"
1ee157e6-0191-4329-a5df-37e7d4ce8fc3,photo,2017-06-19,506,"[{""E"": 40, ""action"": ""junk""}, {""K"": 32, ""action"": ""junk""}, {""J"": 12, ""action"": ""noise""}]"
710dc6f1-04e2-4d94-91b6-8e39e9c5d89d,photo,2017-06-20,803,"[{""A"": 44, ""action"": ""junk""}]"
98866744-a5ba-4578-9c2a-2e34dac3ef6b,photo,2017-06-20,925,"[{""B"": 42, ""action"": ""noise""}, {""K"": 33, ""action"": ""noise""}, {""K"": 27, ""action"": ""views""}, {""F"": 69, ""action"": ""clicks""}]"
cafab85a-dc03-4e89-b63c-be9e8717c4a4,video,2017-06-21,730,"[{""B"": 99, ""action"": ""clicks""}, {""G"": 20, ""action"": ""noise""}, {""D"": 95, ""action"": ""views""}, {""B"": 19, ""action"": ""junk""}]"
94f4fd4c-3492-4130-be0a-e01320ba201a,photo,2017-06-20,781,"[{""E"": 95, ""action"": ""conversions""}, {""J"": 42, ""action"": ""conversions""}]"
f4d0fc10-451f-4136-9925-4cb3c7858501,video,2017-06-23,420,"[{""H"": 17, ""action"": ""views""}, {""B"": 55, ""action"": ""conversions""}]"
e9a2139a-8f83-4cb9-b41c-ecf607fab022,photo,2017-06-22,971,"[{""J"": 95, ""action"": ""conversions""}, {""H"": 91, ""action"": ""junk""}, {""D"": 70, ""action"": ""clicks""}, {""D"": 55, ""action"": ""conversions""}]"
4d007937-c2cb-44ee-9056-7715594791aa,video,2017-06-15,385,"[{""F"": 98, ""action"": ""junk""}]"
36803e81-a0ce-46ba-8caa-be381b38ce43,photo,2017-06-17,191,"[{""B"": 69, ""action"": ""noise""}, {""J"": 47, ""action"": ""clicks""}, {""H"": 1, ""action"": ""clicks""}, {""A"": 52, ""action"": ""junk""}, {""B"": 61, ""action"": ""noise""}]"
c20152c2-428e-47c1-8deb-accbbb16167e,video,2017-06-16,725,"[{""F"": 0, ""action"": ""junk""}, {""A"": 57, ""action"": ""clicks""}, {""K"": 19, ""action"": ""noise""}, {""J"": 65, ""action"": ""noise""}]"
5e7bfef0-5e03-42c0-af93-a046798c7675,photo,2017-06-23,685,"[{""J"": 99, ""action"": ""junk""}, {""H"": 44, ""action"": ""conversions""}, {""K"": 50, ""action"": ""views""}]"
41623512-ed62-4964-8279-1771bbd5e7bd,video,2017-06-21,110,"[{""B"": 24, ""action"": ""noise""}]"
61a87270-bbf9-4818-8ed5-6cbde481bc7f,photo,2017-06-14,586,"[{""C"": 33, ""action"": ""clicks""}, {""E"": 92, ""action"": ""junk""}, {""K"": 83, ""action"": ""views""}]"
c1a8def7-c991-444d-a95d-4e2fadb1e04b,video,2017-06-18,238,"[{""K"": 66, ""action"": ""clicks""}, {""K"": 26, ""action"": ""noise""}, {""F"": 52, ""action"": ""noise""}, {""D"": 26, ""action"": ""conversions""}, {""C"": 89, ""action"": ""noise""}]"
a60c592a-8d76-4ae9-8e0d-02832fd35071,video,2017-06-17,671,"[{""C"": 49, ""action"": ""clicks""}, {""A"": 1, ""action"": ""noise""}]"
f0aeb028-4122-4a30-a446-51207b9946ec,photo,2017-06-21,885,"[{""K"": 88, ""action"": ""junk""}, {""D"": 50, ""action"": ""views""}]"
dba94a0c-8c5c-44be-bda0-aca8670c7431,photo,2017-06-23,518,"[{""E"": 49, ""action"": ""junk""}, {""F"": 52, ""action"": ""clicks""}, {""F"": 1, ""action"": ""conversions""}, {""D"": 36, ""action"": ""junk""}, {""K"": 90, ""action"": ""noise""}]"
632de579-6f6a-45d5-97a4-b8d23d0da3a7,video,2017-06-14,434,"[{""D"": 41, ""action"": ""clicks""}, {""A"": 96, ""action"": ""junk""}, {""K"": 82, ""action"": ""noise""}, {""F"": 49, ""action"": ""junk""}]"
b58ee9f6-e14a-4979-b908-ad8adda2e8ec,video,2017-06-20,606,"[{""F"": 48, ""action"": ""noise""}]"
7dffb732-f55a-43f3-bc74-b54d13a61626,photo,2017-06-23,932,"[{""F"": 71, ""action"": ""views""}, {""D"": 47, ""action"": ""clicks""}, {""E"": 62, ""action"": ""views""}, {""E"": 93, ""action"": ""conversions""}, {""K"": 68, ""action"": ""views""}]"
954a6df9-84dc-4786-9dab-2932e5ac8129,video,2017-06-16,720,"[{""H"": 5, ""action"": ""conversions""}, {""C"": 34, ""action"": ""views""}, {""D"": 78, ""action"": ""conversions""}, {""B"": 39, ""action"": ""clicks""}]"
bd57250f-1755-4542-bd7c-9168345b7c4d,photo,2017-06-21,4,"[{""K"": 77, ""action"": ""noise""}, {""D"": 29, ""action"": ""views""}, {""A"": 3, ""action"": ""clicks""}, {""K"": 42, ""action"": ""noise""}, {""H"": 94, ""action"": ""conversions""}]"
7ce8b1a6-f66e-4cd5-a0d5-6062fc664ca0,video,2017-06-16,738,"[{""D"": 45, ""action"": ""views""}, {""A"": 86, ""action"": ""clicks""}, {""K"": 11, ""action"": ""clicks""}, {""C"": 97, ""action"": ""clicks""}, {""C"": 90, ""action"": ""views""}]"
2108b634-f7ec-41dd-9499-334a4a8d9f3f,photo,2017-06-23,476,"[{""D"": 4, ""action"": ""views""}, {""J"": 66, ""action"": ""conversions""}]"
a4260c35-dbbf-4dab-8dfb-94d041f3e553,video,2017-06-19,141,"[{""D"": 37, ""action"": ""clicks""}, {""G"": 59, ""action"": ""views""}, {""K"": 30, ""action"": ""noise""}]"
a3774fd2-d8a2-4f19-a339-c02e82e9316c,video,2017-06-21,722,"[{""H"": 6, ""action"": ""noise""}, {""K"": 83, ""action"": ""conversions""}, {""J"": 9, ""action"": ""views""}, {""A"": 28, ""action"": ""conversions""}, {""G"": 30, ""action"": ""conversions""}]"
